                                                 28 Nov 2023 15:59:33
Civil Air Patrol Use Only
FigureOfMerit-revisittime


                         Coverage Properties                         
---------------------------------------------------------------------
LatLon Region Coverage                                               
Grid Altitude: 0.0000 (km)                                           
Ground Altitude set from grid altitude reference (On ellipsoid)      
Resolution: 1.0000 (deg)                                             
Number of Points: 14472                                              
Assets required for a valid access: At Least 1                       
Assigned Assets:                                                     
    Satellite/mysat/Sensor/mysen:    Active                          
Access Interval: 28 Nov 2023 04:00:00.000 to 29 Nov 2023 04:00:00.000
Regional Acceleration: Automatic                                     
Light time delay: Ignored                                            
Maximum Sampling Time Step: 360.000 secs                             
Minimum Sampling Time Step: 0.010 secs                               
Time Convergence: 5.000e-03 secs                                     
Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14           


                 FOM Properties                 
------------------------------------------------
Maximum Revisit Time                            
Minimum number of assets required: 1            
Gaps at ends of analysis interval are considered
Satisfaction is not enabled                     
FOM value range check is not enabled.           


Latitude (deg)    Longitude (deg)    FOM Value (sec)
       -27.619              0.556          29793.502
       -27.619              1.667          29812.876
       -27.619              2.778          29841.661
       -27.619              3.889          29901.541
       -27.619              5.000          35462.146
       -27.619              6.111          35455.268
       -27.619              7.222          35448.982
       -27.619              8.333          35443.308
       -27.619              9.444          35438.273
       -27.619             10.556          35433.921
       -27.619             11.667          35430.288
       -27.619             12.778          35427.421
       -27.619             13.889          35425.380
       -27.619             15.000          35424.233
       -27.619             16.111          35424.057
       -27.619             17.222          35424.969
       -27.619             18.333          35427.103
       -27.619             19.444          35430.621
       -27.619             20.556          35435.770
       -27.619             21.667          35442.863
       -27.619             22.778          35452.389
       -27.619             23.889          35465.110
       -27.619             25.000          35482.364
       -27.619             26.111          35507.081
       -27.619             27.222          35549.250
       -27.619             28.333          41141.645
       -27.619             29.444          41134.567
       -27.619             30.556          41128.074
       -27.619             31.667          41122.179
       -27.619             32.778          41116.922
       -27.619             33.889          41112.330
       -27.619             35.000          41108.447
       -27.619             36.111          41105.304
       -27.619             37.222          41102.968
       -27.619             38.333          41101.501
       -27.619             39.444          41100.981
       -27.619             40.556          41101.500
       -27.619             41.667          41103.193
       -27.619             42.778          41106.206
       -27.619             43.889          41110.761
       -27.619             45.000          41117.136
       -27.619             46.111          41125.752
       -27.619             47.222          41137.244
       -27.619             48.333          41152.711
       -27.619             49.444          41174.312
       -27.619             50.556          41208.001
       -27.619             51.667          46821.210
       -27.619             52.778          46813.936
       -27.619             53.889          46807.238
       -27.619             55.000          46801.134
       -27.619             56.111          46795.650
       -27.619             57.222          46790.823
       -27.619             58.333          46786.688
       -27.619             59.444          46783.287
       -27.619             60.556          46780.663
       -27.619             61.667          42983.743
       -27.619             62.778          42904.879
       -27.619             63.889          42874.457
       -27.619             65.000          42855.514
       -27.619             66.111          42843.426
       -27.619             67.222          42836.508
       -27.619             68.333          42834.040
       -27.619             69.444          42835.808
       -27.619             70.556          42841.960
       -27.619             71.667          42853.119
       -27.619             72.778          42870.761
       -27.619             73.889          42898.676
       -27.619             75.000          42955.986
       -27.619             76.111          48523.267
       -27.619             77.222          48518.852
       -27.619             78.333          48515.822
       -27.619             79.444          48514.141
       -27.619             80.556          48513.805
       -27.619             81.667          48514.799
       -27.619             82.778          48517.136
       -27.619             83.889          48520.841
       -27.619             85.000          48525.943
       -27.619             86.111          42920.652
       -27.619             87.222          42883.285
       -27.619             88.333          42861.171
       -27.619             89.444          42846.977
       -27.619             90.556          42838.377
       -27.619             91.667          42834.415
       -27.619             92.778          42834.713
       -27.619             93.889          42839.301
       -27.619             95.000          42848.618
       -27.619             96.111          42863.753
       -27.619             97.222          42887.356
       -27.619             98.333          42928.624
       -27.619             99.444          48525.131
       -27.619            100.556          48520.226
       -27.619            101.667          48516.719
       -27.619            102.778          48514.572
       -27.619            103.889          48513.763
       -27.619            105.000          48514.295
       -27.619            106.111          48516.169
       -27.619            107.222          48519.398
       -27.619            108.333          48524.010
       -27.619            109.444          42942.760
       -27.619            110.556          42893.770
       -27.619            111.667          42867.756
       -27.619            112.778          42851.193
       -27.619            113.889          42840.806
       -27.619            115.000          42835.299
       -27.619            116.111          42834.136
       -27.619            117.222          42837.209
       -27.619            118.333          42844.798
       -27.619            119.444          42857.725
       -27.619            240.556          42688.995
       -27.619            241.667          42690.239
       -27.619            242.778          42692.368
       -27.619            243.889          42695.315
       -27.619            245.000          42699.023
       -27.619            246.111          42703.446
       -27.619            247.222          42708.543
       -27.619            248.333          42714.282
       -27.619            249.444          42720.632
       -27.619            250.556          42727.573
       -27.619            251.667          37155.405
       -27.619            252.778          37102.750
       -27.619            253.889          37075.276
       -27.619            255.000          37056.567
       -27.619            256.111          37042.892
       -27.619            257.222          37032.668
       -27.619            258.333          37025.027
       -27.619            259.444          37019.441
       -27.619            260.556          37015.542
       -27.619            261.667          37013.088
       -27.619            262.778          37011.890
       -27.619            263.889          37011.807
       -27.619            265.000          37012.725
       -27.619            266.111          37014.555
       -27.619            267.222          37017.226
       -27.619            268.333          37020.675
       -27.619            269.444          37024.855
       -27.619            270.556          37029.727
       -27.619            271.667          37035.246
       -27.619            272.778          37041.387
       -27.619            273.889          37048.123
       -27.619            275.000          37055.428
       -27.619            276.111          31439.100
       -27.619            277.222          31406.515
       -27.619            278.333          31385.391
       -27.619            279.444          31370.212
       -27.619            280.556          31358.912
       -27.619            281.667          31350.445
       -27.619            282.778          31344.193
       -27.619            283.889          31339.742
       -27.619            285.000          31336.810
       -27.619            286.111          31335.195
       -27.619            287.222          31334.739
       -27.619            288.333          31335.321
       -27.619            289.444          31336.844
       -27.619            290.556          31339.230
       -27.619            291.667          31342.416
       -27.619            292.778          31346.347
       -27.619            293.889          31350.980
       -27.619            295.000          31356.277
       -27.619            296.111          31362.206
       -27.619            297.222          31368.738
       -27.619            298.333          31375.851
       -27.619            299.444          25779.362
       -27.619            300.556          25739.026
       -27.619            301.667          25714.907
       -27.619            302.778          25697.987
       -27.619            303.889          25685.494
       -27.619            305.000          25676.128
       -27.619            306.111          25669.161
       -27.619            307.222          25664.123
       -27.619            308.333          25660.694
       -27.619            309.444          25658.639
       -27.619            310.556          25657.796
       -27.619            311.667          25658.030
       -27.619            312.778          25659.236
       -27.619            313.889          25661.331
       -27.619            315.000          25664.245
       -27.619            316.111          25667.923
       -27.619            317.222          25672.318
       -27.619            318.333          25677.388
       -27.619            319.444          25683.101
       -27.619            320.556          25689.430
       -27.619            321.667          25696.344
       -27.619            322.778          24081.226
       -27.619            323.889          24077.365
       -27.619            325.000          24074.258
       -27.619            326.111          24071.959
       -27.619            327.222          24070.528
       -27.619            328.333          24070.048
       -27.619            329.444          24070.612
       -27.619            330.556          24072.354
       -27.619            331.667          24075.426
       -27.619            332.778          24080.046
       -27.619            333.889          24086.507
       -27.619            335.000          24095.221
       -27.619            336.111          24106.855
       -27.619            337.222          24122.521
       -27.619            338.333          24144.450
       -27.619            339.444          24178.932
       -27.619            340.556          29789.968
       -27.619            341.667          29782.716
       -27.619            342.778          29776.043
       -27.619            343.889          29769.964
       -27.619            345.000          29764.506
       -27.619            346.111          29759.707
       -27.619            347.222          29755.599
       -27.619            348.333          29752.229
       -27.619            349.444          29749.641
       -27.619            350.556          29747.901
       -27.619            351.667          29747.076
       -27.619            352.778          29747.267
       -27.619            353.889          29748.585
       -27.619            355.000          29751.178
       -27.619            356.111          29755.232
       -27.619            357.222          29761.009
       -27.619            358.333          29768.886
       -27.619            359.444          29779.411
       -26.667              0.556          29764.840
       -26.667              1.667          29780.804
       -26.667              2.778          29803.281
       -26.667              3.889          29839.153
       -26.667              5.000          35447.753
       -26.667              6.111          35440.441
       -26.667              7.222          35433.709
       -26.667              8.333          35427.584
       -26.667              9.444          35422.087
       -26.667             10.556          35417.249
       -26.667             11.667          35413.107
       -26.667             12.778          35409.708
       -26.667             13.889          35407.102
       -26.667             15.000          35405.351
       -26.667             16.111          35404.529
       -26.667             17.222          35404.723
       -26.667             18.333          35406.059
       -26.667             19.444          35408.686
       -26.667             20.556          35412.789
       -26.667             21.667          35418.648
       -26.667             22.778          35426.629
       -26.667             23.889          35437.320
       -26.667             25.000          35451.671
       -26.667             26.111          35471.471
       -26.667             27.222          35501.192
       -26.667             28.333          35568.093
       -26.667             29.444          41119.896
       -26.667             30.556          41112.958
       -26.667             31.667          41106.619
       -26.667             32.778          41100.896
       -26.667             33.889          41095.825
       -26.667             35.000          41091.440
       -26.667             36.111          41087.783
       -26.667             37.222          41084.894
       -26.667             38.333          41082.834
       -26.667             39.444          41081.680
       -26.667             40.556          41081.510
       -26.667             41.667          41082.436
       -26.667             42.778          41084.597
       -26.667             43.889          41088.158
       -26.667             45.000          41093.375
       -26.667             46.111          41100.569
       -26.667             47.222          41110.234
       -26.667             48.333          41123.168
       -26.667             49.444          41140.782
       -26.667             50.556          41166.183
       -26.667             51.667          41210.623
       -26.667             52.778          46799.410
       -26.667             53.889          46792.274
       -26.667             55.000          46785.727
       -26.667             56.111          46779.789
       -26.667             57.222          46774.487
       -26.667             58.333          46769.859
       -26.667             59.444          46765.945
       -26.667             60.556          46762.780
       -26.667             61.667          42886.471
       -26.667             62.778          42846.191
       -26.667             63.889          42822.094
       -26.667             65.000          42806.029
       -26.667             66.111          42795.485
       -26.667             67.222          42789.370
       -26.667             68.333          42787.178
       -26.667             69.444          42788.746
       -26.667             70.556          42794.203
       -26.667             71.667          42803.963
       -26.667             72.778          42819.007
       -26.667             73.889          42841.494
       -26.667             75.000          42877.827
       -26.667             76.111          48490.922
       -26.667             77.222          48486.616
       -26.667             78.333          48483.657
       -26.667             79.444          48482.022
       -26.667             80.556          48481.689
       -26.667             81.667          48482.660
       -26.667             82.778          48484.946
       -26.667             83.889          48488.555
       -26.667             85.000          42911.029
       -26.667             86.111          42857.478
       -26.667             87.222          42829.338
       -26.667             88.333          42810.892
       -26.667             89.444          42798.598
       -26.667             90.556          42791.026
       -26.667             91.667          42787.506
       -26.667             92.778          42787.778
       -26.667             93.889          42791.848
       -26.667             95.000          42800.037
       -26.667             96.111          42813.093
       -26.667             97.222          42832.614
       -26.667             98.333          42862.751
       -26.667             99.444          42926.865
       -26.667            100.556          48487.959
       -26.667            101.667          48484.537
       -26.667            102.778          48482.445
